Red_Mean,Red_Variance,Red_Skewness,Red_Kurtosis,Green_Mean,Green_Variance,Green_Skewness,Green_Kurtosis,Blue_Mean,Blue_Variance,Blue_Skewness,Blue_Kurtosis,Category
94.7,3883.4100000000008,1.4972439703987626,1.6205942024538276,85.3,3873.0099999999993,1.86596636207155,2.676102590732768,85.1,3908.8900000000003,1.833387589273271,2.6164488231204563,cats
153.3,3746.21,0.1165035349995881,-1.3851793436863769,104.0,4261.0,1.3262807540892687,0.37542349491942684,97.1,4317.29,1.3316301815685565,0.3699241072776176,cats
129.6,2915.6400000000003,0.9188285844037907,0.45658164376663324,117.4,2727.84,0.899083863960263,0.4595843465110607,114.1,3323.29,1.1822850437629335,0.9423288726518413,cats
162.5,1656.45,0.5772412386582111,0.6012852100408921,85.9,4576.889999999999,1.1830703520962738,0.32372654213908714,100.6,3895.8399999999992,1.4546204443141755,0.9952050016880412,cats
124.7,4814.610000000001,0.29614727680551967,-0.85073892672236,119.6,4888.24,0.5436491165864339,-0.9230995979008716,114.2,5579.960000000001,0.4829089443924695,-1.0270795549989733,cats
177.3,2350.0099999999998,0.06607430178740263,-1.109935656589071,157.9,2977.0899999999992,0.12380732057660568,-0.8154476387296641,125.1,4201.69,0.4901998851729373,-0.5858569788923758,cats
136.3,3880.6099999999997,0.4443656736118964,-0.8479850678172318,123.9,5113.289999999999,0.5752788858785427,-0.9653860079851873,107.2,5939.56,0.7662942354810502,-0.84181405437795,cats
193.3,1501.2100000000003,-0.4810863510474701,-0.4704048871732298,154.3,1605.21,1.2253846421715378,1.4761991418786984,129.8,2118.7599999999998,1.8115656792785162,2.674684256352725,cats
121.5,3055.25,1.1809948825249759,0.7366596126551084,104.3,3080.41,1.8428371810231883,2.575441679979897,118.8,2762.7599999999998,1.230477035168391,1.0129912955329488,cats
161.6,2229.84,0.05439037966460637,-0.21328054558453768,161.0,2065.8,-0.5833161325502609,-0.5645544198258929,160.6,2809.44,-0.2794537257325507,-0.409443005056191,cats
117.8,2815.7599999999993,1.4494852339067354,1.8041135847527743,117.1,2959.49,1.3200852572915975,1.5150650177631055,112.9,3121.69,1.327643647659292,1.5739492992186026,cats
138.5,2805.45,0.711771571503291,-0.003149061493395333,85.3,4370.409999999999,1.5417793602828749,1.5548589864499567,135.9,4067.69,0.3003335206004468,-0.8363242472481507,cats
140.4,4586.4400000000005,0.003586532205829922,-1.0107122387291136,128.6,4535.4400000000005,0.21983660596695692,-0.8024529157465192,124.8,4291.159999999999,0.34831458481866134,-0.531873070219044,cats
142.4,2802.84,0.3164452034484263,0.06530521244585863,140.7,2998.6099999999997,0.27959290230658346,-0.11121135449166575,134.5,3596.25,0.16545289726176712,-0.3396358577956198,cats
99.5,4893.45,0.8346619442420219,-0.047998592895390324,95.2,4867.56,0.9737661883548681,0.20970948908615528,93.4,4768.64,1.0972660349249834,0.4072061761376844,cats
118.9,2772.09,1.637083503818693,1.6698362888782192,187.2,5205.160000000001,-0.3445268581954682,-1.6720494693622712,182.5,5692.65,-0.30976153390690747,-1.7012716358393358,cats
95.2,6600.56,0.7270992668799348,-0.8270455340140281,98.3,5435.009999999999,0.9882144354034993,-0.3691241468511217,99.7,5183.410000000001,1.0742311923009178,-0.17540240950646124,cats
103.1,4409.089999999999,0.9102711711061553,0.2783651351614651,99.8,4556.959999999999,0.9829055249755447,0.31370295682422134,95.9,4701.69,1.1369654574977883,0.40337681110431367,cats
139.6,4112.4400000000005,0.49712987897374783,-1.1559677095372396,147.5,3262.25,0.46542039744405594,-0.8064357362122072,146.6,3008.6400000000003,0.4580982144495569,-0.5133432911682765,cats
